tahun,bulan,puskesmas,desa,sasaran,sangat pendek,pendek,normal,tinggi,jumlah balita diukur,stunting,stunting (%)
2024,januari,TLANAKAN,AMBAT,602,13,15,286,2,316,28,8.860759494
2024,januari,TLANAKAN,TLANAKAN,327,2,2,123,12,139,4,2.877697842
2024,januari,TLANAKAN,BRANTA PASISIR,695,22,39,197,1,259,61,23.55212355
2024,januari,TLANAKAN,BRANTA TINGGI,229,0,5,163,0,168,5,2.976190476
2024,januari,TLANAKAN,TLESA,115,0,0,1,1,2,0,0
2024,januari,TLANAKAN,LARANGAN TOKOL,659,3,6,420,9,438,9,2.054794521
2024,januari,TLANAKAN,CEGUK,573,3,10,139,5,157,13,8.280254777
2024,januari,TLANAKAN,PANGLEGUR,796,7,5,213,24,249,12,4.819277108
2024,januari,TLANAKAN,GUGUL,645,9,13,266,1,289,22,7.612456747
2024,januari,TLANAKAN,BUKEK,231,11,29,61,0,101,40,39.6039604
2024,januari,PADEMAWU,PADEMAWU BARAT,540,0,0,275,0,275,0,0
2024,januari,PADEMAWU,BUNDER,212,1,1,104,0,106,2,1.886792453
2024,januari,PADEMAWU,DASOK,393,0,1,219,0,220,1,0.454545455
2024,januari,PADEMAWU,MURTAJIH,429,23,10,283,4,320,33,10.3125
2024,januari,PADEMAWU,LEMPER,218,0,0,136,0,136,0,0
2024,januari,PADEMAWU,BARURAMBAT TIMUR,269,0,0,171,0,171,0,0
2024,januari,PADEMAWU,LAWANGAN DAYA,502,11,19,383,6,419,30,7.159904535
2024,januari,PADEMAWU,BUDDAGAN,401,1,2,249,2,254,3,1.181102362
2024,januari,PADEMAWU,TAMBUNG,218,3,0,95,0,98,3,3.06122449
2024,januari,PADEMAWU,SENTOL,416,0,2,174,2,178,2,1.123595506
2024,januari,SOPAAH,BADDURIH,149,0,4,133,1,138,4,2.898550725
2024,januari,SOPAAH,PAGAGAN,191,8,8,147,1,164,16,9.756097561
2024,januari,SOPAAH,MAJUNGAN,131,13,24,78,2,117,37,31.62393162
2024,januari,SOPAAH,PADELEGAN,269,0,0,238,0,238,0,0
2024,januari,SOPAAH,TANJUNG,596,10,53,260,0,323,63,19.50464396
2024,januari,SOPAAH,PADEMAWU TIMUR,523,1,25,402,3,431,26,6.032482599
2024,januari,SOPAAH,JARIN,294,1,8,255,2,266,9,3.383458647
2024,januari,SOPAAH,PREKBUN,86,1,9,64,1,75,10,13.33333333
2024,januari,SOPAAH,SOPA'AH,66,2,7,16,1,26,9,34.61538462
2024,januari,SOPAAH,BUDDIH,76,1,1,69,1,72,2,2.777777778
2024,januari,SOPAAH,DURBUK,207,5,25,169,0,199,30,15.07537688
2024,januari,SOPAAH,SUMEDANGAN,290,1,0,237,0,238,1,0.420168067
2024,januari,GALIS,KONANG,292,5,12,233,25,275,17,6.181818182
2024,januari,GALIS,PANDAN,85,0,3,73,6,82,3,3.658536585
2024,januari,GALIS,LEMBUNG,92,1,0,86,3,90,1,1.111111111
2024,januari,GALIS,GALIS,190,1,0,179,7,187,1,0.534759358
2024,januari,GALIS,BULAY,182,2,3,37,29,71,5,7.042253521
2024,januari,GALIS,TOBUNGAN,208,0,0,89,1,90,0,0
2024,januari,GALIS,PAGENDINGAN,171,2,1,159,9,171,3,1.754385965
2024,januari,GALIS,PONTEH,200,9,21,131,8,169,30,17.75147929
2024,januari,GALIS,POLAGAN,328,1,2,299,11,313,3,0.958466454
2024,januari,GALIS,ARTODUNG,120,12,5,65,6,88,17,19.31818182
2024,januari,LARANGAN,PELTONG,222,1,2,119,0,122,3,2.459016393
2024,januari,LARANGAN,TRASAK,425,4,49,209,0,262,53,20.22900763
2024,januari,LARANGAN,TENTENAN BARAT,116,3,1,81,0,85,4,4.705882353
2024,januari,LARANGAN,TENTENAN TIMUR,166,4,12,99,1,116,16,13.79310345
2024,januari,LARANGAN,GRUJUGAN,321,1,14,138,2,155,15,9.677419355
2024,januari,LARANGAN,BLUMBUNGAN,1441,65,60,659,19,803,125,15.56662516
2024,januari,LARANGAN,LARANGAN LUAR,671,24,44,330,1,399,68,17.04260652
2024,januari,TALANG,LARANGAN DALAM,227,0,5,196,0,201,5,2.487562189
2024,januari,TALANG,PANAGUAN,170,0,8,143,0,151,8,5.298013245
2024,januari,TALANG,MONTOK,218,1,6,191,0,198,7,3.535353535
2024,januari,TALANG,KADUARA BARAT,273,0,4,257,0,261,4,1.53256705
2024,januari,TALANG,LANCAR,121,0,7,103,0,110,7,6.363636364
2024,januari,TALANG,TARABAN,75,0,4,68,0,72,4,5.555555556
2024,januari,TALANG,DUKUH TIMUR,167,1,11,145,0,157,12,7.643312102
2024,januari,TEJA,TEJAH BARAT,254,1,3,241,1,246,4,1.62601626
2024,januari,TEJA,TEJAH TIMUR,244,3,1,198,6,208,4,1.923076923
2024,januari,TEJA,JALMAK,187,0,2,181,0,183,2,1.092896175
2024,januari,TEJA,LADEN,339,1,13,238,3,255,14,5.490196078
2024,januari,TEJA,PANEMPAN,208,0,5,183,0,188,5,2.659574468
2024,januari,TEJA,KANGENAN,359,1,3,343,0,347,4,1.152737752
2024,januari,TEJA,PATEMON,327,1,5,309,1,316,6,1.898734177
2024,januari,TEJA,BARURAMBAT KOTA,555,2,1,535,0,538,3,0.557620818
2024,januari,TEJA,PARTEKER,276,1,2,255,0,258,3,1.162790698
2024,januari,TEJA,JUNGCANGCANG,436,0,9,403,0,412,9,2.184466019
